coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Ontology,ONT,-0.14307169722661414,0.4199950534302893,0.08911459901458575,-0.15120267566075535,-0.09358886182240243,-0.08736587264987895,2022-03-16
0x,ZRX,-0.14306950097919247,0.5690932973980419,0.1906970662399313,0.01929160357389472,-0.09413823089783459,-0.08751908728181423,2022-03-16
APENFT,NFT,-0.14318075135907138,-0.21367248343265932,-0.31721526988678783,-0.3085820103388942,-0.07975038062325121,-0.08769184440140487,2022-03-16
SKALE,SKL,-0.14315317857335197,0.12179856549478403,0.3261403558737229,0.38651005115621884,-0.10067217612690257,-0.08805160474905702,2022-03-16
SwissBorg,CHSB,-0.14308728809550803,0.45726961442222736,0.0383233654019155,-0.33918354763742126,-0.1043766356076936,-0.08815165671387283,2022-03-16
dYdX,DYDX,-0.14216817338903912,0.7181915413657909,0.13990583262725934,-0.2604938802983518,-0.0703216257292369,-0.08833901271473964,2022-03-16
Dogelon Mars,ELON,-0.14318075153354864,1.2400353952529286,0.8171222807962181,0.01929160357389472,-0.10079295923942051,-0.0884111631966157,2022-03-16
Olympus,OHM,-0.13704417801330868,0.15907312648671848,-0.7235451387881632,-0.4790762895735447,-0.10348280237033644,-0.08849437562574392,2022-03-16
Constellation,DAG,-0.1431475557085798,0.12179856549478403,-0.6219626715628193,0.9854258525702478,-0.10439246229537308,-0.08871355508988353,2022-03-16
Synapse,SYN,-0.14270719675267005,0.08452400450284592,-1.7224393998373773,-0.10311454562021288,-0.10141663650380803,-0.08875701800411513,2022-03-16
Immutable X,IMX,-0.14283813360213504,1.2400353952529286,-0.19870239145722005,0.11109621546947619,-0.07299867607705796,-0.08916609939352836,2022-03-16
Convex CRV,CVXCRV,-0.1427552069308072,1.053662590293238,-0.046328690619204305,-0.0725130083216863,-0.10472695628926312,-0.08919176961214703,2022-03-16
Everdome,DOME,-0.1431715144444058,-0.5118689713681646,1.1218696824722496,-0.40912991860548303,-0.08853428870336136,-0.08920974747928914,2022-03-16
Gemini Dollar,GUSD,-0.1429625236091268,-0.2509470444245975,-0.3849369147036837,-0.09874289743470901,-0.10360902403773936,-0.089415719926046,2022-03-16
JUST,JST,-0.14317007244642466,0.12179856549478403,-0.31721526988678783,0.041149844501414456,-0.07759660342175077,-0.08941692648689635,2022-03-16
Decentralized Social,DESO,-0.1357675437310249,-0.17639792244072117,1.477408317760953,0.736241905996528,-0.10448355917711755,-0.08946124142688716,2022-03-16
Polymath,POLY,-0.1430967692327778,0.2708968094625367,-0.1648415690487738,-0.2604938802983518,-0.10033785144083719,-0.08971996271921964,2022-03-16
NuCypher,NU,-0.14308923272595067,-0.21367248343265932,-0.232563213865668,-0.5315360677995911,-0.10319570292832231,-0.08975585253875214,2022-03-16
REN,REN,-0.14310680401469272,0.830015224341609,-0.19870239145722005,-0.1555743238462592,-0.08988319747914555,-0.08990583516472275,2022-03-16
Keep Network,KEEP,-0.14304768078968527,0.08452400450284592,-0.08018951302765227,-0.3916433258634676,-0.10392852246344349,-0.0900064521657303,2022-03-16
Illuvium,ILV,-0.029719607068494597,0.49454417541416557,0.24148829985260314,0.041149844501414456,-0.10074858666312085,-0.09003094849154396,2022-03-16
Flux,FLUX,-0.1428686855336769,0.23362224847059854,-0.02939827941498038,0.2772188465186228,-0.0991475919515655,-0.09008931098036446,2022-03-16
Ethereum Name Service,ENS,-0.140114647133263,1.1282117122771143,0.3261403558737229,-0.03316817465215114,-0.0905226220494797,-0.09019213859801548,2022-03-16
Hive,HIVE,-0.1429910837729602,0.19634768747866033,0.29227953346527336,-0.05502641557967044,-0.1002471195700744,-0.09028502445095477,2022-03-16
Lido DAO,LDO,-0.1425304320058923,1.1654862732690485,1.03721762645113,2.1482842699142743,-0.10306736441470982,-0.09030587576464594,2022-03-16
STEPN,GMT,-0.14306419039880625,2.3582722250110733,9.299258294112425,12.727672878833612,0.26267922023910584,-0.09039560507427927,2022-03-16
Spell Token,SPELL,-0.14317997743975477,0.19634768747866033,-0.24949362506989198,-0.36104178856494057,-0.09487182793896938,-0.09043315446733927,2022-03-16
